id,name,line
56,Bartley,Yellow
57,Bayfront,Yellow
58,Botanic Gardens,Yellow
59,Bras Basah,Yellow
60,Caldecott,Yellow
61,Dakota,Yellow
62,Dhoby Ghaut,"Yellow, purple"
63,Esplanade,Yellow
64,Farrer Road,Yellow
65,HarbourFront,"Yellow, purple"
66,Haw Par Villa,Yellow
67,Holland Village,Yellow
68,Kent Ridge,Yellow
69,Labrador Park,Yellow
70,Lorong Chuan,Yellow
71,MacPherson,Yellow
72,Marina Bay,Yellow
73,Marymount,Yellow
74,Mountbatten,Yellow
75,Nicoll Highway,Yellow
76,one-north,Yellow
77,Pasir Panjang,Yellow
78,Promenade,Yellow
79,Serangoon,Yellow
80,Stadium,Yellow
81,Tai Seng,Yellow
82,Telok Blangah,Yellow