id,name,line,,
28,Aljunied,Green,,
29,Bedok,Green,,
30,Boon Lay,Green,,
31,Bugis,Green,,
32,Buona Vista,"Green, Yellow",,
33,Changi Airport,Green,,
34,Chinese Garden,Green,,
35,Clementi,Green,,
36,Commonwealth,Green,,
37,Dover,Green,,
38,Eunos,Green,,
39,Expo,Green,,
40,Joo Koon,Green,,
41,Kallang,Green,,
42,Kembangan,Green,,
43,Lakeside,Green,,
44,Lavender,Green,,
45,Outram Park,"Green, Purple",,
46,Pasir Ris,Green,,
47,Paya Lebar,"Green, Yellow",,
48,Pioneer,Green,,
49,Queenstown,Green,,
50,Redhill,Green,,
51,Simei,Green,,
52,Tampines,Green,,
53,Tanah Merah,Green,,
54,Tanjong Pagar,Green,,
55,Tiong Bahru,Green,,