id,name,line,lat,lng,LineOrder
28,Aljunied,Green,1.316577,103.882518,EW9
29,Bedok,Green,1.324214,103.929896,EW5
30,Boon Lay,Green,1.338672,103.705835,EW27
31,Bugis,Green,1.300659,103.856296,"EW12,DT14"
32,Buona Vista,"Green, Yellow",1.307353,103.789649,"EW21,CC22"
33,Changi Airport,Green,1.357593,103.988733,CG2
34,Chinese Garden,Green,1.342448,103.732872,EW25
35,Clementi,Green,1.315204,103.765316,EW23
36,Commonwealth,Green,1.302376,103.798275,EW20
37,Dover,Green,1.311257,103.778491,EW22
38,Eunos,Green,1.319727,103.903103,EW7
39,Expo,Green,1.334682,103.961396,"CG1,DT35"
40,Joo Koon,Green,1.327517,103.678412,EW29
41,Kallang,Green,1.3116,103.871145,EW10
42,Kembangan,Green,1.32091,103.912516,EW6
43,Lakeside,Green,1.34425,103.720426,EW26
44,Lavender,Green,1.307267,103.862648,EW11
45,Outram Park,"Green, Purple",1.281224,103.838873,"EW16,NE3"
46,Pasir Ris,Green,1.372738,103.949208,EW1
47,Paya Lebar,"Green, Yellow",1.31795,103.893504,"EW8,CC9"
48,Pioneer,Green,1.337385,103.697553,EW28
49,Queenstown,Green,1.294395,103.806386,EW19
50,Redhill,Green,1.28989,103.816342,EW18
51,Simei,Green,1.343263,103.952985,EW3
52,Tampines,Green,1.353388,103.945131,"EW2,DT32"
53,Tanah Merah,Green,1.327131,103.946762,"EW4,CG0"
54,Tanjong Pagar,Green,1.27629,103.845353,EW15
55,Tiong Bahru,Green,1.286158,103.8272,EW17